UserName,SMTP
Adele Vance,AdeleV@shakudo.onmicrosoft.com
ADuser,
Alex Wilber,AlexW@shakudo.onmicrosoft.com
Diego Siciliani,DiegoS@shakudo.onmicrosoft.com
Dom Rigel,
UsersSharedMailbox,123@shakudo.onmicrosoft.com
Grady Archie,GradyA@shakudo.onmicrosoft.com
Henrietta Mueller,HenriettaM@shakudo.onmicrosoft.com
Isaiah Langer,IsaiahL@shakudo.onmicrosoft.com
Johanna Lorenz,JohannaL@shakudo.onmicrosoft.com
Kirill Kuklin,kirill@shakudo.onmicrosoft.com
Lee Gu,LeeG@shakudo.onmicrosoft.com
Lidia Holloway,LidiaH@shakudo.onmicrosoft.com
Lynne Robbins,LynneR@shakudo.onmicrosoft.com
MailUser MailUser,MailUser@microsoft.com
Megan Bowen,MeganB@shakudo.onmicrosoft.com
Miriam Graham,MiriamG@shakudo.onmicrosoft.com
My_business,My_business@shakudo.onmicrosoft.com
Nestor Wilke,NestorW@shakudo.onmicrosoft.com
Patti Fernandez,PattiF@shakudo.onmicrosoft.com
Pradeep Gupta,PradeepG@shakudo.onmicrosoft.com
PS Created,ps-created-user@shakudo.onmicrosoft.com
Room6,Room6@shakudo.onmicrosoft.com
Scheduling,
User1 User1,User1@shakudo.onmicrosoft.com
User2 User2,User2@shakudo.onmicrosoft.com
User3 User3,User3@shakudo.onmicrosoft.com
User5 User5,User5@shakudo.onmicrosoft.com
UsersSharedMailbox,UsersSharedMailbox@shakudo.onmicrosoft.com
